epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4302,1.19446,1.40353,1.21737,0.64132,0.54695,0.6092,0.44875,1.07754,1.12346,1.12567,8.33e-06,8.33e-06,8.33e-06
2,150.688,1.14393,1.38392,1.19115,0.65441,0.55982,0.62614,0.46468,1.06733,1.09683,1.12012,1.60829e-05,1.60829e-05,1.60829e-05
3,224.848,1.16477,1.3901,1.19477,0.67333,0.56273,0.63283,0.4707,1.06247,1.08016,1.11612,2.19507e-05,2.19507e-05,2.19507e-05
4,298.737,1.12992,1.223,1.18063,0.68337,0.5836,0.65308,0.49061,1.0566,1.05415,1.11469,2.59337e-05,2.59337e-05,2.59337e-05
5,372.742,1.10458,1.2412,1.17402,0.65661,0.61647,0.66319,0.49685,1.04935,1.02877,1.10834,2.80316e-05,2.80316e-05,2.80316e-05
6,446.869,1.11427,1.22434,1.1706,0.67085,0.63691,0.67318,0.50181,1.03928,1.00888,1.10193,2.82447e-05,2.82447e-05,2.82447e-05
7,521.28,1.06857,1.16068,1.135,0.67632,0.62892,0.68127,0.51021,1.03285,0.99236,1.09719,2.65727e-05,2.65727e-05,2.65727e-05
8,595.317,1.0904,1.19797,1.16167,0.68988,0.62669,0.69587,0.51598,1.02597,0.97755,1.09194,2.30158e-05,2.30158e-05,2.30158e-05
9,669.136,1.10619,1.10582,1.15006,0.6864,0.6306,0.69954,0.52131,1.02155,0.96625,1.08933,1.75739e-05,1.75739e-05,1.75739e-05
10,742.704,1.06204,1.12604,1.1286,0.69599,0.63021,0.7004,0.52253,1.01968,0.9635,1.08734,1.02471e-05,1.02471e-05,1.02471e-05
